geneID
ACTA2
ALDOC
ANLN
APLN
BMP4
CNR1
CPNE5
CRH
CRHBP
CTPS
FLT1
FOXJ1
GAD2
GFAP
HEXB
ITPR2
KCNIP2
LAMP5
MFGE8
MRC1
