0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2596088,0.0,0.1093615,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15561236,0.0,0.0,0.0,0.0,0.1117469,0.0,0.0,0.0
0.1305476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26249975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10339042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14764744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2890953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14317307,0.0,0.11828412,0.0,0.15632495,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43361354,0.0
0.0,0.0,0.0,0.0,0.10309264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27263921,0.15670083,0.0,0.0,0.0,0.0
0.0,0.1251542,0.0,0.0,0.12149766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22606245,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23304892,0.0,0.0,0.0,0.17174894,0.16944721,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104520604,0.0,0.0,0.14174534,0.0,0.0,0.0,0.16387431,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.10931585,0.0,0.0,0.0,0.10031505,0.12855023,0.0,0.11902404,0.0,0.10912287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.106684975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21044154,0.0,0.0,0.0,0.0,0.0,0.18004689,0.119379364,0.0,0.0
0.0,0.0,0.0,0.15280434,0.0,0.11057279,0.0,0.0,0.0,0.21429045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23429683,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.44796228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
