0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,0.0,0.0,0.0,0.28727418,0.0,0.54836154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10989461
0.0,0.0,0.0,0.0,0.3406623,0.0,0.54090464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.35699734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61550736,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.21706633,0.0,0.56795084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.19167624,0.0,0.6154902,0.0,0.0,0.0,0.0,0.0,0.0,0.10418405,0.0
0.0,0.0,0.0,0.0,0.0,0.99493897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5562488,0.0,0.0,0.33235568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4151274,0.0,0.0,0.0,0.35261852,0.12072438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5893001,0.183234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17570026,0.0
0.0,0.28041682,0.0,0.0,0.6193213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
