0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.13301824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84306645,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9706736,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6040579,0.0,0.34900358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889669,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9831368,0.0,0.0,0.0,0.0,0.0,0.0
0.99472356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99082464,0.0,0.0,0.0,0.0,0.0,0.0
0.41826943,0.0,0.0,0.0,0.0,0.0,0.4185001,0.0,0.0,0.0,0.0,0.0,0.0,0.1561988,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17488639,0.0,0.0,0.0,0.0,0.2715723,0.0,0.0,0.0,0.0,0.0,0.50674576
0.0,0.0,0.0,0.0,0.0,0.0,0.2800488,0.0,0.0,0.0,0.0,0.0,0.0,0.7092041,0.0,0.0,0.0,0.0,0.0,0.0
